"SYMBOL ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","LTP ","CHNG ","%CHNG ","VOLUME (shares)","VALUE ","52W H ","52W L ","365 D % CHNG  17-Jul-2020","30 D % CHNG  18-Jun-2021"
"NIFTY 200","8,381.40","8,403.55","8,367.15","8,350.55","8,386.25","35.70","0.43",1466055404,"511,740,656,766.35","8,469.20","5,593.35","44.21","-0.25"
"HINDALCO","420.50","474.00","416.80","416.30","458.65","42.35","10.17",61414603,"27,501,459,223.40","474.00","154.40","152.76","8.89"
"COFORGE","4,825.00","5,201.00","4,825.00","4,742.95","5,188.00","445.05","9.38",1557599,"7,840,875,486.05","5,201.00","1,725.25","-","15.05"
"UNIONBANK","35.75","38.80","35.65","35.50","38.75","3.25","9.15",34063723,"1,269,554,956.21","45.25","23.10","21.58","-9.78"
"TATASTEEL","1,375.00","1,481.80","1,368.00","1,365.00","1,458.00","93.00","6.81",30061041,"43,132,483,458.03","1,481.80","342.75","280.75","15.29"
"GSPL","337.90","358.00","337.90","334.85","357.25","22.40","6.69",1050482,"367,931,320.50","358.00","177.40","63.58","0.51"
"LTI","4,388.25","4,659.95","4,358.00","4,357.30","4,634.35","277.05","6.36",1180829,"5,363,667,758.41","4,659.95","2,311.60","80.37","5.70"
"VEDL","271.70","290.90","270.60","270.10","286.85","16.75","6.20",31005496,"8,804,630,699.12","296.30","91.20","143.66","0.88"
"LTTS","3,520.00","3,818.00","3,454.30","3,483.30","3,679.90","196.60","5.64",852256,"3,117,620,628.48","3,818.00","1,435.00","139.35","20.72"
"SAIL","135.25","143.35","134.30","133.85","141.40","7.55","5.64",146823987,"20,462,859,068.19","151.30","32.65","276.51","0.49"
"CANBK","143.90","151.00","142.90","143.25","150.55","7.30","5.10",24944354,"3,650,855,651.44","174.60","82.25","42.68","-8.73"
"NMDC","175.30","184.80","174.40","174.20","182.40","8.20","4.71",42443883,"7,671,307,413.42","213.20","75.60","104.94","-4.34"
"M&MFIN","143.15","149.05","143.10","142.50","148.95","6.45","4.53",12146400,"1,773,860,256.00","224.30","112.70","5.44","-10.18"
"SBIN","426.00","443.60","425.50","425.50","443.10","17.60","4.14",35263606,"15,356,595,140.88","443.60","175.50","124.60","-0.29"
"JINDALSTEL","421.70","447.00","419.10","419.70","437.00","17.30","4.12",24314941,"10,590,858,851.37","501.70","159.60","128.97","2.78"
"BAJAJFINSV","13,960.00","14,925.00","13,940.10","13,970.55","14,516.00","545.45","3.90",710514,"10,263,502,622.52","14,925.00","5,400.00","120.26","12.87"
"BANKBARODA","78.45","81.15","77.60","78.05","81.00","2.95","3.78",33487296,"2,656,547,191.68","99.85","39.50","66.77","-11.10"
"MINDTREE","2,729.00","2,814.00","2,725.30","2,708.80","2,809.00","100.20","3.70",813518,"2,257,935,479.36","2,814.00","1,034.30","157.48","6.17"
"LALPATHLAB","3,660.00","3,755.90","3,605.80","3,621.45","3,751.20","129.75","3.58",317041,"1,169,653,020.48","3,755.90","1,736.60","86.04","15.11"
"RECLTD","146.25","152.00","144.55","145.25","150.40","5.15","3.55",6112724,"913,791,110.76","167.80","91.80","44.82","1.89"
"PNB","38.60","39.70","38.25","38.40","39.70","1.30","3.39",63854550,"2,483,941,995.00","46.35","26.30","19.63","-11.42"
"JSWSTEEL","725.50","758.10","723.05","721.70","745.90","24.20","3.35",18513875,"13,782,098,827.50","773.00","207.45","235.83","3.79"
"TATAMOTORS","287.55","295.40","287.55","284.45","293.80","9.35","3.29",57733359,"16,897,976,845.71","360.75","102.00","167.21","-17.02"
"MPHASIS","2,591.00","2,677.50","2,563.00","2,587.70","2,670.00","82.30","3.18",868934,"2,272,783,770.40","2,677.50","1,081.85","122.23","26.27"
"PRESTIGE","334.20","342.50","333.80","330.70","341.00","10.30","3.11",792725,"267,449,560.50","357.00","173.30","71.08","14.27"
"ASHOKLEY","122.80","125.50","122.00","121.50","125.25","3.75","3.09",8665627,"1,075,664,279.51","138.90","48.00","137.54","-2.61"
"IBULHSGFIN","275.65","285.00","271.00","273.90","282.15","8.25","3.01",23658987,"6,594,706,036.38","313.70","127.75","26.92","2.14"
"GLAND","3,915.00","4,070.00","3,876.00","3,910.05","4,022.35","112.30","2.87",180714,"714,919,041.12","4,172.00","1,700.00","-","20.22"
"BANKINDIA","70.35","72.00","69.75","69.90","71.85","1.95","2.79",2677815,"189,990,974.25","101.40","38.20","52.95","-13.17"
"SRF","7,800.00","8,110.00","7,665.00","7,728.00","7,934.00","206.00","2.67",424080,"3,353,577,991.20","8,114.05","3,726.90","104.94","8.56"
"HCLTECH","985.55","1,009.00","985.55","983.10","1,008.95","25.85","2.63",4732101,"4,750,698,156.93","1,067.00","677.05","37.99","-0.22"
"RAMCOCEM","1,051.75","1,070.00","1,032.00","1,040.65","1,066.95","26.30","2.53",672552,"706,704,190.56","1,132.70","664.05","45.66","0.30"
"AJANTPHARM","2,331.90","2,435.00","2,312.00","2,331.90","2,390.00","58.10","2.49",216524,"510,680,514.96","2,435.00","1,424.50","61.58","16.15"
"TATAELXSI","4,216.00","4,288.30","4,190.55","4,177.00","4,280.00","103.00","2.47",149624,"636,807,225.20","4,575.00","903.95","352.60","9.17"
"IDFCFIRSTB","51.10","52.20","50.20","50.70","51.90","1.20","2.37",40156418,"2,054,402,344.88","69.30","26.00","82.05","-10.97"
"BAJAJHLDNG","3,900.10","4,012.00","3,875.75","3,894.00","3,981.00","87.00","2.23",27374,"108,377,498.36","4,060.00","2,212.65","43.10","6.11"
"TATAPOWER","120.75","124.00","120.70","120.35","123.00","2.65","2.20",16366211,"1,999,787,322.09","132.70","47.50","144.86","-1.80"
"GMRINFRA","27.75","28.30","27.55","27.55","28.15","0.60","2.18",16865238,"471,214,749.72","33.90","20.60","17.48","-11.84"
"JUBLFOOD","3,645.15","3,740.00","3,630.05","3,660.30","3,740.00","79.70","2.18",557916,"2,063,932,133.76","3,740.00","1,665.50","115.85","17.40"
"BAJFINANCE","6,289.95","6,430.00","6,264.05","6,262.00","6,394.00","132.00","2.11",1484664,"9,424,676,765.28","6,430.00","3,006.90","93.30","3.73"
"BHARATFORG","780.00","794.40","774.65","778.00","793.60","15.60","2.01",1155947,"910,990,271.23","832.00","376.00","97.84","5.30"
"SUNPHARMA","687.80","705.95","680.70","687.80","701.50","13.70","1.99",4397443,"3,068,183,929.96","721.85","452.25","42.52","1.70"
"DLF","335.80","341.70","332.20","332.05","338.65","6.60","1.99",13771413,"4,630,913,049.51","344.55","135.20","135.25","13.12"
"NAVINFLUOR","3,534.40","3,598.60","3,450.00","3,515.85","3,584.90","69.05","1.96",368561,"1,300,157,897.26","4,015.00","1,692.00","90.61","-5.23"
"IRCTC","2,287.80","2,343.50","2,286.00","2,283.65","2,328.00","44.35","1.94",892458,"2,069,110,325.52","2,479.95","1,290.05","69.72","9.91"
"PFC","126.15","128.35","125.65","125.55","127.95","2.40","1.91",3321168,"422,286,511.20","140.50","80.30","54.43","1.13"
"HINDZINC","318.45","325.55","317.00","316.25","322.00","5.75","1.82",1753832,"565,610,820.00","362.10","197.30","50.02","-6.77"
"POLYCAB","1,800.00","1,826.85","1,762.00","1,791.65","1,824.00","32.35","1.81",254104,"455,262,890.56","2,033.00","798.00","122.66","-8.05"
"TATACHEM","738.00","754.50","737.70","738.75","752.00","13.25","1.79",1614348,"1,208,129,612.76","833.95","273.45","146.54","2.33"
"CHOLAFIN","484.00","495.50","481.20","481.10","489.00","7.90","1.64",2689089,"1,312,840,140.69","600.95","197.50","123.09","-8.13"
"AARTIIND","880.70","899.90","880.70","880.70","894.80","14.10","1.60",1059506,"946,244,808.60","931.83","475.23","-9.28","1.46"
"CESC","829.85","849.00","829.05","827.75","841.00","13.25","1.60",939154,"790,335,657.16","870.90","538.65","43.54","7.41"
"HAVELLS","1,160.00","1,184.90","1,158.05","1,157.60","1,175.15","17.55","1.52",1302792,"1,531,718,610.24","1,231.90","568.40","101.01","16.66"
"AUBANK","1,185.50","1,201.00","1,171.65","1,174.15","1,191.05","16.90","1.44",663286,"787,075,066.18","1,354.40","616.70","49.45","11.78"
"GODREJPROP","1,540.00","1,578.00","1,538.00","1,541.85","1,564.00","22.15","1.44",622122,"971,711,015.46","1,596.80","819.75","75.25","9.98"
"ABBOTINDIA","17,918.80","18,230.00","17,800.05","17,935.15","18,190.00","254.85","1.42",7232,"130,734,382.72","18,230.00","13,959.80","20.41","6.58"
"FORTIS","251.25","255.00","246.70","249.70","253.20","3.50","1.40",1925994,"484,368,231.06","259.80","123.20","83.06","5.03"
"SUNTV","537.00","553.40","534.10","537.65","545.05","7.40","1.38",3362554,"1,831,213,282.86","571.00","372.00","38.37","-0.13"
"BATAINDIA","1,603.80","1,622.00","1,591.10","1,598.50","1,620.00","21.50","1.35",448640,"721,973,920.00","1,696.95","1,213.80","27.34","-1.67"
"VOLTAS","1,022.00","1,033.20","1,019.05","1,016.45","1,029.55","13.10","1.29",574940,"591,055,568.20","1,132.00","573.80","74.99","-2.50"
"INDHOTEL","146.80","148.90","146.45","146.30","147.85","1.55","1.06",1817073,"268,654,243.05","157.30","76.10","85.54","0.48"
"ENDURANCE","1,673.90","1,686.00","1,652.50","1,662.70","1,680.00","17.30","1.04",67946,"113,268,020.38","1,715.55","884.00","87.23","3.93"
"MUTHOOTFIN","1,545.00","1,567.20","1,540.10","1,546.15","1,562.20","16.05","1.04",540846,"840,837,050.82","1,616.05","1,000.00","15.86","3.77"
"GLENMARK","590.20","595.10","585.05","587.65","593.65","6.00","1.02",2245219,"1,327,687,803.46","690.95","419.00","39.63","-11.90"
"INDIAMART","7,084.30","7,169.00","7,084.25","7,084.30","7,155.00","70.70","1.00",45551,"325,522,933.34","9,950.00","2,341.00","194.36","0.77"
"CUMMINSIND","836.60","845.45","831.00","836.60","844.85","8.25","0.99",557740,"468,395,629.40","934.25","390.60","108.50","-4.05"
"VGUARD","249.50","253.50","247.70","247.70","249.90","2.20","0.89",411187,"102,932,441.71","285.00","159.35","50.26","-7.75"
"TITAN","1,739.00","1,756.30","1,727.80","1,723.55","1,738.00","14.45","0.84",1346162,"2,349,119,998.10","1,792.95","1,028.55","63.73","-0.26"
"RELIANCE","2,054.00","2,074.40","2,043.40","2,037.35","2,054.30","16.95","0.83",6352886,"13,069,093,550.34","2,369.35","1,830.00","-6.44","-2.33"
"NAM-INDIA","399.50","403.35","392.20","397.85","400.95","3.10","0.78",928318,"370,018,271.62","439.35","249.00","43.58","8.07"
"TECHM","1,128.70","1,141.35","1,115.10","1,119.55","1,127.90","8.35","0.75",3821405,"4,318,073,007.85","1,152.50","642.55","63.59","1.31"
"ICICIBANK","692.50","692.50","683.10","685.05","688.10","5.05","0.74",11043138,"7,597,678,944.00","692.50","333.75","94.56","5.34"
"FEDERALBNK","85.95","86.40","85.00","85.55","86.15","0.60","0.70",12676353,"1,087,124,033.28","92.50","45.35","54.01","-2.06"
"ULTRACEMCO","7,670.00","7,718.90","7,636.00","7,654.65","7,706.00","51.35","0.67",227836,"1,750,593,854.52","7,718.90","3,753.90","85.06","11.43"
"SHREECEM","27,680.00","27,877.45","27,500.00","27,491.45","27,672.35","180.90","0.66",26531,"733,044,101.32","32,048.00","18,183.55","25.44","-3.17"
"IGL","549.25","560.95","545.00","546.50","550.00","3.50","0.64",1860887,"1,028,288,938.46","594.85","364.10","36.25","2.43"
"INFY","1,600.10","1,620.00","1,600.10","1,605.60","1,615.50","9.90","0.62",4660873,"7,526,331,111.67","1,620.00","912.10","66.75","2.15"
"OIL","163.90","164.40","161.35","162.70","163.70","1.00","0.61",516820,"84,376,033.20","177.40","83.50","67.73","0.40"
"CASTROLIND","140.95","141.55","139.90","140.40","141.15","0.75","0.53",685430,"96,508,544.00","154.90","104.00","24.30","-2.50"
"UPL","822.95","822.95","810.00","814.65","819.00","4.35","0.53",1839368,"1,502,579,719.20","864.70","399.00","81.46","0.69"
"CROMPTON","472.40","475.55","466.75","469.15","471.30","2.15","0.46",828116,"389,272,488.12","496.70","238.00","86.21","9.10"
"M&M","730.00","738.85","726.10","728.70","732.00","3.30","0.45",2489035,"1,820,679,321.80","952.05","567.50","17.47","-8.17"
"ABFRL","226.05","231.50","222.55","226.05","227.00","0.95","0.42",4072371,"926,423,678.79","231.65","117.00","84.30","2.96"
"ONGC","114.30","115.80","113.30","114.35","114.75","0.40","0.35",14142749,"1,623,021,875.24","128.50","64.10","43.12","-6.54"
"MCDOWELL-N","640.00","643.00","633.40","635.95","638.05","2.10","0.33",984828,"628,211,932.92","690.00","494.00","8.66","-5.20"
"DMART","3,500.00","3,524.00","3,492.25","3,488.50","3,500.00","11.50","0.33",131747,"461,850,965.73","3,533.40","1,954.85","70.05","4.69"
"HDFCBANK","1,428.25","1,429.95","1,413.30","1,417.30","1,421.75","4.45","0.31",6851115,"9,745,025,976.00","1,641.00","993.00","30.43","-6.04"
"PEL","2,322.30","2,389.80","2,287.00","2,310.75","2,318.00","7.25","0.31",1561725,"3,627,496,743.75","2,520.90","1,178.55","57.28","-4.40"
"CUB","150.50","152.00","149.70","149.70","150.15","0.45","0.30",1761201,"264,919,854.42","200.00","115.60","23.31","-12.46"
"SIEMENS","1,952.90","1,968.45","1,938.65","1,942.15","1,947.80","5.65","0.29",405647,"793,173,748.51","2,178.00","1,120.80","69.94","-3.45"
"GRASIM","1,543.00","1,557.60","1,523.00","1,533.55","1,538.00","4.45","0.29",1218918,"1,875,805,099.38","1,599.50","565.00","157.20","0.85"
"OBEROIRLTY","700.35","723.90","686.00","700.35","702.30","1.95","0.28",435245,"305,681,268.40","729.00","330.85","88.22","15.41"
"SRTRANSFIN","1,364.00","1,383.50","1,354.00","1,372.95","1,376.00","3.05","0.22",777687,"1,063,720,278.60","1,534.95","555.55","97.46","0.03"
"HDFCAMC","2,842.00","2,854.95","2,810.05","2,827.10","2,833.10","6.00","0.21",161895,"458,073,807.75","3,358.90","2,070.05","17.48","-4.91"
"GUJGASLTD","708.90","716.80","702.40","705.30","706.55","1.25","0.18",719462,"510,940,328.54","742.80","281.00","146.14","5.06"
"LT","1,594.00","1,607.35","1,586.00","1,594.20","1,597.00","2.80","0.18",1672177,"2,669,580,415.19","1,647.15","843.00","74.52","5.27"
"L&TFH","86.50","86.95","85.40","86.35","86.50","0.15","0.17",7335944,"632,358,372.80","113.40","51.96","42.37","-9.15"
"BHEL","60.50","61.45","59.35","60.30","60.40","0.10","0.17",36237615,"2,184,041,056.05","79.55","26.75","61.01","-9.05"
"APOLLOHOSP","4,040.00","4,054.55","3,993.20","4,028.40","4,035.00","6.60","0.16",449417,"1,807,272,041.29","4,189.65","1,511.00","151.90","16.62"
"PGHH","12,751.00","12,827.25","12,751.00","12,746.95","12,760.00","13.05","0.10",1962,"25,077,558.06","14,135.65","9,691.40","21.23","-6.31"
"PIDILITIND","2,295.95","2,318.00","2,288.85","2,295.95","2,298.00","2.05","0.09",197033,"453,841,871.54","2,333.95","1,306.95","69.59","6.53"
"HAL","1,106.95","1,119.60","1,095.00","1,095.40","1,096.00","0.60","0.05",256254,"283,042,793.16","1,423.00","658.00","21.27","5.05"
"HDFCLIFE","666.05","669.95","661.00","664.85","664.90","0.05","0.01",1981009,"1,315,588,076.90","746.00","555.95","3.80","-4.50"
"ADANIENT","1,413.95","1,425.00","1,397.00","1,399.90","1,400.00","0.10","0.01",2538248,"3,585,782,949.60","1,717.20","163.80","706.63","-8.25"
"NATCOPHARM","1,015.00","1,026.30","1,013.00","1,016.65","1,016.30","-0.35","-0.03",155016,"158,021,760.24","1,189.00","710.30","41.56","-6.58"
"ASIANPAINT","3,004.10","3,039.95","2,990.30","3,004.10","3,003.00","-1.10","-0.04",762683,"2,293,936,912.76","3,179.50","1,697.50","70.72","0.71"
"BIOCON","397.00","404.90","380.05","381.70","381.55","-0.15","-0.04",7709849,"2,991,267,215.02","487.75","363.25","-4.34","-5.55"
"ESCORTS","1,137.45","1,152.70","1,135.00","1,137.45","1,137.00","-0.45","-0.04",604866,"691,004,967.06","1,468.45","1,077.40","-1.78","-5.43"
"MANAPPURAM","209.05","211.65","206.55","208.35","208.25","-0.10","-0.05",5389488,"1,126,726,361.28","213.50","139.10","14.20","26.97"
"ADANITRANS","958.00","960.00","894.00","940.75","940.00","-0.75","-0.08",83398,"78,254,011.36","1,644.95","221.50","-","-18.83"
"INDUSINDBK","997.95","1,003.45","987.00","992.75","991.90","-0.85","-0.09",3459503,"3,439,126,527.33","1,119.50","483.25","88.40","-1.60"
"IOC","104.25","104.50","103.20","104.00","103.90","-0.10","-0.10",10093200,"1,047,674,160.00","117.85","71.65","11.35","-6.18"
"TCS","3,200.25","3,225.45","3,190.30","3,197.80","3,194.00","-3.80","-0.12",1731997,"5,555,484,297.32","3,399.65","2,215.00","38.45","-4.16"
"NTPC","117.70","118.25","115.25","116.80","116.65","-0.15","-0.13",11897018,"1,388,500,970.78","122.00","78.10","31.90","0.56"
